id|ti gan|A|B|C|D|E|Ans
57|According to a survey of 200 people, 60 enjoy skiing and 80 enjoy skating. If the number of people who enjoy neither skiing nor skating is 2 times the number of people who enjoy both skiing and skating, how many people surveyed enjoy neither skiing nor skating?|20|40|50|80|120|E
58|A dance troupe has a total of 50 dancers split into 2 groups. The costumes worn by Group A cost $80 each, and those worn by Group B cost $90 each. If the total cost of all the costumes is $4,270, what is the total cost of the costumes worn by Group B ?|$1,840|$2,070|$2,135|$2,160|$2,430|E
60|A salesperson who had been driving at a speed of 100 kilometers per hour slowed down to a speed of 47 kilometers per hour. Approximately how many miles per hour was the speed reduced? (1 kilometer ≈ 0.625 mile)|29|33|53|63|75|B
61|A service provider charges c dollars for the first 50 hours of service used per month and 40 cents for each 30 minutes in excess of 50 hours used during the month. If x is an integer greater than 50, which of the following expressions gives this service provider’s charge, in dollars, for a month in which x hours of service were used?|c + 0.40x|c + 0.80x|c + 0.40(x − 50)|c + 0.80(x − 50)|c + 0.40(2x − 50)|D
62|Let S be the set of all positive integers having at most 4 digits and such that each of the digits is 0 or 1 What is the greatest prime factor of the sum of all the numbers in S?|11|19|37|59|101|E
63|The table above shows the number of residents in each of two age groups who support the use of each type of funding for a city initiative. What is the probability that a person randomly selected from among the 250 residents polled is younger than 40, or supports a type of funding that indudes a tax, or both?|1/5|8/25|12/25|3/5|4/5|D
64|If n= p2 and p is a prime number greater than 5, what is the units digit of n2 ?|1|3|4|7|9|A
65|An 〝Armstrong number〞is an n-digit  number that is equal to the sum of the nth powers of|2|3|4|5|6|B
66|Five integers between 10 and 99, inclusive, are to be formed by using each of the ten digits exactly once in such a way that the sum of the five integers is as small as possible.What is the greatest possible integer that could be among these five numbers?|98|91|59|50|37|C
67|If the product of the integers w, x, y and z is 770, and if 1 ＜w＜x＜y＜z, what is the value of w+z?|10|13|16|18|21|B
68|If x < y < z and y - x > 5, where x is an even integer and y and z are odd integers, what is the least possible value of z - x?|6|7|8|9|10|D
69|If  Whitney wrote the decimal representations for the first 300 positive integer multiples of 5 and did not write any other numbers how many times would she have written the digit 5?|150|185|186|200|201|E
70|Of the following, which is greatest?|3√2|2√3|4√35|5√24|7√3|A
71|How many positive integers n have the property that both 3n and n/3 are 4-digit integers?|111|112|333|334|1134|B
72|The difference 942-249 is a positive multiple of 7. If a, b, and c are nonzero digits, how many 3-digit numbers abc are possible such that the difference abc- cba is apositive multiple of 7?|142|71|99|20|18|E
73|A merchant purchased a jacket for $60 and then determined a selling price that equaled the purchase price of the jacket plus a markup that was 25 percent of the selling price. During a sale, the merchant discounted the selling price by 20 percent and sold the jacket. What was the merchant's gross profit on this sale?|$0|$3|$4|$12|$15|C
74|Store N gives a 50 percent discount on the list price of all its items and Store W gives a 60 percent discount on the list price of all its items. If the list price of the same item is 20 percent higher in Store W, what percent (more or less) of the selling price in Store N is the selling price of the item in Store W?|. 10% less|4% less|2% less|10% more|12% more|B
75|A store bought 5 dozen lamps at $30 per dozen and sold them all at $15 per lamp. The profit on each lamp was what percent of its selling price?|20%|50%|8313 %|100%|500%|C
76|A certain brand of house paint must be purchased either in quarts at $12 each or in gallons at $18 each. A painter needs a 3-gallon mixture of the paint consisting of 3 parts blue and 2 parts white. What is the least amoumt of money needed to purchase sufficient quantities of the two colors to make the mixture?|$54|$60|$66|$90|$144|C
77|The table above shows the percent of change from the previous month in Company X's sales for February through June of last year. A positive percent indicates that Company X's sales for that month increased from the sales for the previous month, and a negative percent indicates that Company X's sales for that month decreased from the sales for the previous month. For which month were the sales closest to the sales in January?|February|March|April|May|June|D
78|The annual stockholders' report for Corporation X stated that profits were up 10 percent over the previous year, although profits as a percent of sales were down 10 percent. Total sales for that year were approximately what percent of sales for the previous year?|78%|90%|110%|122%|190%|D
79|When a certain stretch of highway was rebuilt and straightened, the distance along the stretch was decreased by 20 percent and the speed limit was increased by 25 percent By what percent was the driving time along this stretch reduced for a person who always drives at the speed limit?|16%|36%|3712 %|45%|5014 %|B
80|A circular rim 28 inches in diameter rotates the same number of inches per second as a circular rim 35 inches in diameter. If the smaller rim makes x revolutions per second, how many revolutions per minute does the larger rim make in terms of x?|48π/x|75x|48x|24x|x/75|C
81|Note: Figure not drawn to scale.|150|144|80|54|36|D
83|In the figure above, PQ is a diameter of cirde O, PR= SQ, and ΔRST is equilateral. If the|1/2|1√3|√32|2√3|√3|D
84|In the figure above, the area of the shaded region is|8√2|4√3|4√2|8(√3−1)|8(√2−1)|D
85|The surface distance between 2 points on the surface of a cube is the length of the shortest path on the surface of the cube that joins the 2 points. If a cube has edges of length 4 centimeters what is the surface distance, in centimeters, between the lower left vertex on its front face and the upper right vertex on its back face?|8|4√5|8√2|12√2|4√2+4|B
87|If 2x+ 5y=8 and 3x=2y, what is the value of 2x+y ?|4|70/19|64/19|56/19|40/19|D
88|The figure above shows some of the dimensions of a triangular plaza with an L-shapedwalk along two of its edges. If the width of the walk is 4 feet and the total area of the plazand and walk together is 10, 800 square feet what is the value of x?|200|204|212|216|225|A
89|If st  =2, then the value of which of the following can be determined ?|Ⅰonly|Ⅲ only|ⅠandⅡ only|Ⅱ and Ⅲ onl|ⅠⅡand Ⅲ|C
90|If each side of ΔACD above has length 3 and if AB has length 1, what is the area of regon BCDE?|9/4|74 √3|94 √3|72 √3|6+√3|B
